# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.348501457527e-10       4.181934121945e-15       3.323666523957e-13       0.000000000000e+00       8.232712751116e-09       4.671193848358e-10      -1.839580235927e-12 
    3       1.305373672770e-10       5.386561106110e-15       3.947894335464e-13       0.000000000000e+00       5.080553712186e-09       3.219170436411e-10      -1.403590340336e-12 
    4       1.236564558708e-10       4.678946749603e-15       3.722503611993e-13       0.000000000000e+00       3.531402417677e-09       2.419340856866e-10      -9.227700885637e-13 
    5       1.183619054672e-10       3.134598349086e-15       3.177191042279e-13       0.000000000000e+00       2.634549746910e-09       1.904799767104e-10      -5.161672589697e-13 
    6       1.147382415414e-10       1.757928642629e-15       2.560945318759e-13       0.000000000000e+00       2.057388079264e-09       1.546923655305e-10      -2.154984918134e-13 
    7       1.123872714223e-10       9.483587370381e-16       2.010940669749e-13       0.000000000000e+00       1.659506482554e-09       1.285333118566e-10      -2.271701909868e-14 
    8       1.110215150261e-10       6.078782269740e-16       1.586815517201e-13       0.000000000000e+00       1.371464247528e-09       1.087553558813e-10       7.668439436550e-14 
    9       1.103888497043e-10       4.861424523553e-16       1.301935158839e-13       0.000000000000e+00       1.154904768856e-09       9.343977168455e-11       1.056695293722e-13 
   10       1.102616416020e-10       4.146193456996e-16       1.143480098340e-13       0.000000000000e+00       9.870992952522e-10       8.131441341880e-11       8.984684045444e-14 
   11       1.105765526027e-10       3.486488062623e-16       1.084997856455e-13       0.000000000000e+00       8.314112403710e-10       7.182670356507e-11       5.323053518471e-14 
   12       1.111871991131e-10       3.031192470083e-16       1.095785669293e-13       0.000000000000e+00       7.263127846563e-10       6.349442521935e-11       1.349959358400e-14 
   13       1.120418105916e-10       2.897701016178e-16       1.148599294375e-13       0.000000000000e+00       6.400498436953e-10       5.673718555806e-11      -1.716912587080e-14 
   14       1.130896266247e-10       3.012100072446e-16       1.222833721646e-13       0.000000000000e+00       5.682909078141e-10       5.084518168187e-11      -3.428930389075e-14 
