# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 1.68265 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048919079686e-05       7.243252810666e+12 
       2.342249831168e-05       2.543682989310e+10 
       3.640164936955e-05       1.144244793138e+09 
       4.946185059161e-05       1.325804332959e+08 
       6.263889554320e-05       2.526129026139e+07 
       7.596948648479e-05       6.546749938201e+06 
       8.949156649002e-05       2.093939313228e+06 
       1.032446663814e-04       7.814073748550e+05 
       1.172702709675e-04       3.287808451603e+05 
       1.316122091007e-04       1.525875866820e+05 
       1.463170720765e-04       7.701668057509e+04 
       1.614346648338e-04       4.189517591622e+04 
       1.770184942226e-04       2.441892406574e+04 
       1.931262982156e-04       1.519196087002e+04 
       2.098206192416e-04       1.005986084773e+04 
       2.271694236861e-04       7.071689553383e+03 
       2.452467678413e-04       5.261729389992e+03 
       2.641335079869e-04       4.128515210025e+03 
       2.839180485322e-04       3.400993755993e+03 
       3.046971169280e-04       2.926499675344e+03 
       3.265765469437e-04       2.616378466945e+03 
       3.496720425011e-04       2.417215023721e+03 
       3.741098821589e-04       2.295864283451e+03 
       4.000275093102e-04       2.231210902794e+03 
       4.275739352457e-04       2.209440878486e+03 
       4.569098620517e-04       2.221670630197e+03 
       4.882074113659e-04       2.261635684775e+03 
       5.216493260920e-04       2.325136840844e+03 
       5.574274997115e-04       2.409264288023e+03 
       5.957406881198e-04       2.512033068453e+03 
       6.367912797490e-04       2.632077912433e+03 
       6.807810493308e-04       2.768475689519e+03 
       7.279059053347e-04       2.920573270989e+03 
       7.783497619106e-04       3.087869916730e+03 
       8.322778148231e-04       3.270009547766e+03 
       8.898296569348e-04       3.466631603135e+03 
       9.511127999282e-04       3.677332677856e+03 
       1.016197236617e-03       3.901676684021e+03 
       1.085111648951e-03       4.139119835788e+03 
       1.157841726199e-03       4.388987873893e+03 
       1.234330820602e-03       4.650536477555e+03 
       1.314482878604e-03       4.922839538563e+03 
       1.398167306859e-03       5.204951629621e+03 
       1.485225223232e-03       5.495836450492e+03 
       1.575476441932e-03       5.794482519398e+03 
       1.668726554502e-03       6.099795159748e+03 
       1.764773572144e-03       6.410730955442e+03 
       1.863413750653e-03       6.726263792905e+03 
       1.964446386765e-03       7.045426419612e+03 
       2.067677522922e-03       7.367303785155e+03 
       2.172922609279e-03       7.691042216856e+03 
       2.280008242964e-03       8.015903754572e+03 
       2.388773139610e-03       8.341126027709e+03 
       2.499068499816e-03       8.666166493034e+03 
       2.610757922870e-03       8.990392668669e+03 
       2.723717000007e-03       9.313343608341e+03 
       2.837832695739e-03       9.634543621695e+03 
       2.953002602204e-03       9.953653342609e+03 
       3.069134130392e-03       1.027031006652e+04 
       3.186143684264e-03       1.058420402811e+04 
       3.303955849573e-03       1.089511466912e+04 
       3.422502618153e-03       1.120279238781e+04 
       3.541722660247e-03       1.150710147155e+04 
       3.661560651500e-03       1.180779912548e+04 
       3.781966657068e-03       1.210480412992e+04 
       3.902895572507e-03       1.239799953151e+04 
       4.024306619249e-03       1.268726671513e+04 
       4.146162891424e-03       1.297255693093e+04 
       4.268430950172e-03       1.325380281831e+04 
       4.391080461358e-03       1.353092419498e+04 
       4.514083872622e-03       1.380389373173e+04 
       4.637416125802e-03       1.407268038894e+04 
       4.761054401048e-03       1.433729853763e+04 
       4.884977889182e-03       1.459769065504e+04 
       5.009167589186e-03       1.485386184103e+04 
       5.133606127990e-03       1.510581527194e+04 
       5.258277600030e-03       1.535356603792e+04 
       5.383167424306e-03       1.559712817734e+04 
       5.508262216924e-03       1.583651828339e+04 
       5.633549677359e-03       1.607172071305e+04 
       5.759018486842e-03       1.630276291351e+04 
       5.884658217485e-03       1.652968304862e+04 
       6.010459250928e-03       1.675253904944e+04 
       6.136412705410e-03       1.697130230578e+04 
       6.262510370328e-03       1.718603884412e+04 
       6.388744647431e-03       1.739673254683e+04 
       6.515108497919e-03       1.760342929618e+04 
       6.641595394793e-03       1.780621843750e+04 
       6.768199279874e-03       1.800511470114e+04 
       6.894914525005e-03       1.820008118162e+04 
       7.021735896960e-03       1.839124237877e+04 
       7.148658525684e-03       1.857860292568e+04 
       7.275677875512e-03       1.876218699651e+04 
       7.402789719043e-03       1.894203467236e+04 
       7.529990113420e-03       1.911819474625e+04 
       7.657275378741e-03       1.929066441078e+04 
       7.784642078406e-03       1.945957848621e+04 
       7.912087001207e-03       1.962488599081e+04 
       8.039607144972e-03       1.978661777281e+04 
       8.167199701634e-03       1.994491101298e+04 
       8.294862043564e-03       2.009967650127e+04 
       8.422591711069e-03       2.025104938782e+04 
       8.550386400927e-03       2.039899349360e+04 
       8.678243955877e-03       2.054363560653e+04 
       8.806162354961e-03       2.068493183892e+04 
       8.934139704655e-03       2.082294868084e+04 
       9.062174230706e-03       2.095770150727e+04 
       9.190264270616e-03       2.108928068298e+04 
       9.318408266721e-03       2.121767094115e+04 
       9.446604759802e-03       2.134293307790e+04 
       9.574852383194e-03       2.146509774452e+04 
       9.703149857342e-03       2.158420523733e+04 
       9.831495984768e-03       2.170025865329e+04 
       9.959889645419e-03       2.181333494746e+04 
       1.008832979236e-02       2.192345526756e+04 
       1.021681544777e-02       2.203062531138e+04 
       1.034534569928e-02       2.213493586130e+04 
       1.047391969651e-02       2.223637754426e+04 
       1.060253664790e-02       2.233500806408e+04 
       1.073119581776e-02       2.243085420290e+04 
       1.085989652353e-02       2.252392447932e+04 
       1.098863813325e-02       2.261428324120e+04 
       1.111742006316e-02       2.270192473157e+04 
       1.124624177552e-02       2.278694773942e+04 
       1.137510277657e-02       2.286934108271e+04 
       1.150400261463e-02       2.294909708531e+04 
       1.163294087831e-02       2.302631751030e+04 
       1.176191719489e-02       2.310098171335e+04 
       1.189093122879e-02       2.317316719410e+04 
       1.201998268012e-02       2.324288291634e+04 
       1.214907128339e-02       2.331015003214e+04 
       1.227819680627e-02       2.337497908635e+04 
       1.240735904841e-02       2.343745451073e+04 
       1.253655784046e-02       2.349757350696e+04 
       1.266579304300e-02       2.355536875390e+04 
       1.279506454567e-02       2.361085644541e+04 
       1.292437226630e-02       2.366407716807e+04 
       1.305371615015e-02       2.371504890336e+04 
       1.318309616917e-02       2.376382833204e+04 
       1.331251232131e-02       2.381041172392e+04 
       1.344196462994e-02       2.385485561846e+04 
       1.357145314323e-02       2.389716649940e+04 
       1.370097793367e-02       2.393736520003e+04 
       1.383053909758e-02       2.397548836018e+04 
       1.396013675464e-02       2.401158240617e+04 
       1.408977104754e-02       2.404562987783e+04 
       1.421944214156e-02       2.407768304087e+04 
       1.434915022432e-02       2.410776098381e+04 
       1.447889550539e-02       2.413591787464e+04 
       1.460867821612e-02       2.416212620784e+04 
       1.473849860935e-02       2.418644067866e+04 
       1.486835695925e-02       2.420886841766e+04 
       1.499825356110e-02       2.422949993526e+04 
       1.512818873119e-02       2.424826877414e+04 
       1.525816280667e-02       2.426523495443e+04 
       1.538817614546e-02       2.428043426479e+04 
       1.551822912620e-02       2.429386069157e+04 
       1.564832214816e-02       2.430558889281e+04 
       1.577845563125e-02       2.431559109723e+04 
       1.590863001601e-02       2.432391453432e+04 
       1.603884576359e-02       2.433058048998e+04 
       1.616910335585e-02       2.433559983888e+04 
       1.629940329535e-02       2.433895956669e+04 
