# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 1.68265 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048919079686e-05       1.470321320956e+13 
       2.342249831168e-05       5.163117252823e+10 
       3.640164936955e-05       2.322142164716e+09 
       4.946185059161e-05       2.689101883317e+08 
       6.263889554320e-05       5.117434697435e+07 
       7.596948648479e-05       1.323327618031e+07 
       8.949156649002e-05       4.215963631800e+06 
       1.032446663814e-04       1.563751960580e+06 
       1.172702709675e-04       6.519870817502e+05 
       1.316122091007e-04       2.986972736134e+05 
       1.463170720765e-04       1.481328924436e+05 
       1.614346648338e-04       7.874153360429e+04 
       1.770184942226e-04       4.457742959928e+04 
       1.931262982156e-04       2.676943159223e+04 
       2.098206192416e-04       1.700959784832e+04 
       2.271694236861e-04       1.141683170703e+04 
       2.452467678413e-04       8.082191103245e+03 
       2.641335079869e-04       6.023603130811e+03 
       2.839180485322e-04       4.714754873521e+03 
       3.046971169280e-04       3.863124403193e+03 
       3.265765469437e-04       3.300730258106e+03 
       3.496720425011e-04       2.927903366486e+03 
       3.741098821589e-04       2.683701005224e+03 
       4.000275093102e-04       2.530023820486e+03 
       4.275739352457e-04       2.442552850357e+03 
       4.569098620517e-04       2.405127771309e+03 
       4.882074113659e-04       2.407042134342e+03 
       5.216493260920e-04       2.440987881866e+03 
       5.574274997115e-04       2.501901478916e+03 
       5.957406881198e-04       2.586289389356e+03 
       6.367912797490e-04       2.691686808102e+03 
       6.807810493308e-04       2.816354706507e+03 
       7.279059053347e-04       2.959020441552e+03 
       7.783497619106e-04       3.118755767083e+03 
       8.322778148231e-04       3.294789864090e+03 
       8.898296569348e-04       3.486489793722e+03 
       9.511127999282e-04       3.693245692182e+03 
       1.016197236617e-03       3.914419170367e+03 
       1.085111648951e-03       4.149298767002e+03 
       1.157841726199e-03       4.397130364274e+03 
       1.234330820602e-03       4.657020243237e+03 
       1.314482878604e-03       4.928004331815e+03 
       1.398167306859e-03       5.209062231460e+03 
       1.485225223232e-03       5.499097072286e+03 
       1.575476441932e-03       5.797062286215e+03 
       1.668726554502e-03       6.101829821541e+03 
       1.764773572144e-03       6.412325835039e+03 
       1.863413750653e-03       6.727502413243e+03 
       1.964446386765e-03       7.046379462124e+03 
       2.067677522922e-03       7.368025441998e+03 
       2.172922609279e-03       7.691577106304e+03 
       2.280008242964e-03       8.016287329774e+03 
       2.388773139610e-03       8.341386485795e+03 
       2.499068499816e-03       8.666326846429e+03 
       2.610757922870e-03       8.990471593038e+03 
       2.723717000007e-03       9.313356262320e+03 
       2.837832695739e-03       9.634502221191e+03 
       2.953002602204e-03       9.953567989273e+03 
       3.069134130392e-03       1.027018905930e+04 
       3.186143684264e-03       1.058405410287e+04 
       3.303955849573e-03       1.089494141546e+04 
       3.422502618153e-03       1.120260041135e+04 
       3.541722660247e-03       1.150689457176e+04 
       3.661560651500e-03       1.180758044793e+04 
       3.781966657068e-03       1.210457628943e+04 
       3.902895572507e-03       1.239776470116e+04 
       4.024306619249e-03       1.268702670165e+04 
       4.146162891424e-03       1.297231323770e+04 
       4.268430950172e-03       1.325355669706e+04 
       4.391080461358e-03       1.353067668960e+04 
       4.514083872622e-03       1.380364570967e+04 
       4.637416125802e-03       1.407243257286e+04 
       4.761054401048e-03       1.433705153077e+04 
       4.884977889182e-03       1.459744497234e+04 
       5.009167589186e-03       1.485361787504e+04 
       5.133606127990e-03       1.510557338241e+04 
       5.258277600030e-03       1.535332649650e+04 
       5.383167424306e-03       1.559689112850e+04 
       5.508262216924e-03       1.583628404577e+04 
       5.633549677359e-03       1.607148934811e+04 
       5.759018486842e-03       1.630253445907e+04 
       5.884658217485e-03       1.652945773794e+04 
       6.010459250928e-03       1.675231672146e+04 
       6.136412705410e-03       1.697108320251e+04 
       6.262510370328e-03       1.718582284364e+04 
       6.388744647431e-03       1.739651976578e+04 
       6.515108497919e-03       1.760321968171e+04 
       6.641595394793e-03       1.780601203451e+04 
       6.768199279874e-03       1.800491148013e+04 
       6.894914525005e-03       1.819988111933e+04 
       7.021735896960e-03       1.839104544950e+04 
       7.148658525684e-03       1.857840903079e+04 
       7.275677875512e-03       1.876199612880e+04 
       7.402789719043e-03       1.894184680264e+04 
       7.529990113420e-03       1.911800983212e+04 
       7.657275378741e-03       1.929048242926e+04 
       7.784642078406e-03       1.945939936564e+04 
       7.912087001207e-03       1.962470968605e+04 
       8.039607144972e-03       1.978644424562e+04 
       8.167199701634e-03       1.994474022718e+04 
       8.294862043564e-03       2.009950837768e+04 
       8.422591711069e-03       2.025088387871e+04 
       8.550386400927e-03       2.039883055203e+04 
       8.678243955877e-03       2.054347518536e+04 
       8.806162354961e-03       2.068477389160e+04 
       8.934139704655e-03       2.082279316131e+04 
       9.062174230706e-03       2.095754837256e+04 
       9.190264270616e-03       2.108912989877e+04 
       9.318408266721e-03       2.121752243107e+04 
       9.446604759802e-03       2.134278680243e+04 
       9.574852383194e-03       2.146495366810e+04 
       9.703149857342e-03       2.158406332640e+04 
       9.831495984768e-03       2.170011884618e+04 
       9.959889645419e-03       2.181319720787e+04 
       1.008832979236e-02       2.192331956726e+04 
       1.021681544777e-02       2.203049159361e+04 
       1.034534569928e-02       2.213480408914e+04 
       1.047391969651e-02       2.223624768444e+04 
       1.060253664790e-02       2.233488006764e+04 
       1.073119581776e-02       2.243072804823e+04 
       1.085989652353e-02       2.252380011432e+04 
       1.098863813325e-02       2.261416064545e+04 
       1.111742006316e-02       2.270180385873e+04 
       1.124624177552e-02       2.278682856736e+04 
       1.137510277657e-02       2.286922356802e+04 
       1.150400261463e-02       2.294898120572e+04 
       1.163294087831e-02       2.302620322717e+04 
       1.176191719489e-02       2.310086900067e+04 
       1.189093122879e-02       2.317305601542e+04 
       1.201998268012e-02       2.324277324794e+04 
       1.214907128339e-02       2.331004184192e+04 
       1.227819680627e-02       2.337487235139e+04 
       1.240735904841e-02       2.343734920443e+04 
       1.253655784046e-02       2.349746960159e+04 
       1.266579304300e-02       2.355526622077e+04 
       1.279506454567e-02       2.361075524306e+04 
       1.292437226630e-02       2.366397729842e+04 
       1.305371615015e-02       2.371495033347e+04 
       1.318309616917e-02       2.376373103995e+04 
       1.331251232131e-02       2.381031567919e+04 
       1.344196462994e-02       2.385476079995e+04 
       1.357145314323e-02       2.389707289847e+04 
       1.370097793367e-02       2.393727278862e+04 
       1.383053909758e-02       2.397539711228e+04 
       1.396013675464e-02       2.401149230515e+04 
       1.408977104754e-02       2.404554089720e+04 
       1.421944214156e-02       2.407759516410e+04 
       1.434915022432e-02       2.410767419727e+04 
       1.447889550539e-02       2.413583215999e+04 
       1.460867821612e-02       2.416204154607e+04 
       1.473849860935e-02       2.418635705000e+04 
       1.486835695925e-02       2.420878579994e+04 
       1.499825356110e-02       2.422941831912e+04 
       1.512818873119e-02       2.424818814255e+04 
       1.525816280667e-02       2.426515528980e+04 
       1.538817614546e-02       2.428035554897e+04 
       1.551822912620e-02       2.429378290579e+04 
       1.564832214816e-02       2.430551201759e+04 
       1.577845563125e-02       2.431551513371e+04 
       1.590863001601e-02       2.432383945199e+04 
       1.603884576359e-02       2.433050629603e+04 
       1.616910335585e-02       2.433552649690e+04 
       1.629940329535e-02       2.433888707379e+04 
       1.642974610548e-02       2.434072539038e+04 
       1.656013233051e-02       2.434096154692e+04 
       1.669056253574e-02       2.433963093262e+04 
       1.682103730762e-02       2.433679292687e+04 
       1.695155725387e-02       2.433242557697e+04 
       1.708212300369e-02       2.432657359849e+04 
       1.721273520793e-02       2.431925748048e+04 
       1.734339453926e-02       2.431045510888e+04 
       1.747410169245e-02       2.430028130175e+04 
       1.760485738454e-02       2.428866509074e+04 
       1.773566235514e-02       2.427568232914e+04 
       1.786651736667e-02       2.426135307678e+04 
       1.799742320466e-02       2.424563264764e+04 
       1.812838067805e-02       2.422862781866e+04 
       1.825939061949e-02       2.421029661753e+04 
       1.839045388573e-02       2.419066150559e+04 
